Date,Name,holidays
2021-09-17,Day of Melilla,1
2021-09-22,September Equinox,1
2021-10-09,Day of the Valencian Community,1
2021-10-12,Hispanic Day,1
2021-10-31,Daylight Saving Time ends,1
2021-11-01,All Saints' Day,1
2021-12-03,Day of Navarre,1
2021-12-06,Constitution Day Holiday,1
2021-12-08,Immaculate Conception,1
2021-12-21,December Solstice,1
2021-12-24,Christmas Eve,1
2021-12-25,Christmas Day,1
2021-12-26,St Stephen's Day,1
2021-12-26,Feast of the Holy Family,1
2021-12-31,New Year's Eve,1
2022-01-01,New Year's Day,1
2022-01-02,Reconquest Day,1
2022-01-06,Epiphany,1
2022-02-14,Valentine's Day,1
2022-02-28,Day of Andalucía,1
2022-02-28,Carnival Monday,1
2022-03-01,Carnival Tuesday,1
2022-03-01,Day of the Balearic Islands,1
2022-03-02,Ash Wednesday,1
2022-03-19,Fathers' Day,1
2022-03-19,San Jose,1
2022-03-19,San Jose,1
2022-03-20,March Equinox,1
2022-03-27,Daylight Saving Time starts,1
2022-04-10,Palm Sunday,1
2022-04-14,Maundy Thursday,1
2022-04-14,Maundy Thursday,1
2022-04-15,Good Friday,1
2022-04-16,Holy Saturday,1
2022-04-17,Easter Sunday,1
2022-04-18,Easter Monday,1
2022-04-18,Easter Monday,1
2022-04-23,Day of Aragón,1
2022-04-23,St George's Day,1
2022-04-23,Castile and León Day,1
2022-05-01,Labor Day / May Day,1
2022-05-01,Mothers' Day,1
2022-05-02,Monday After The Labor Festival,1
2022-05-02,Day of Madrid,1
2022-05-03,Eid al-Fitr,1
2022-05-03,Eid al-Fitr,1
2022-05-17,Galicia Literature Day,1
2022-05-30,Day of the Canary Islands,1
2022-05-31,Day of Castile-La Mancha,1
2022-06-05,Whit Sunday/Pentecost,1
2022-06-06,Whit Monday,1
2022-06-06,Whit Monday,1
2022-06-09,Day of Murcia,1
2022-06-09,Day of La Rioja,1
2022-06-13,San Antonio,1
2022-06-16,Corpus Christi,1
2022-06-16,Corpus Christi,1
2022-06-21,June Solstice,1
2022-06-24,Saint John the Baptist Day,1
2022-06-24,Saint John the Baptist Day,1
2022-07-10,Eid al-Adha,1
2022-07-25,Feast of Saint James the Apostle,1
2022-07-25,Feast of Saint James the Apostle,1
2022-07-28,Day of the Institutions,1
2022-08-05,The Day of Our Lady of Africa,1
2022-08-14,The Day of Cantabria,1
2022-08-15,Assumption of Mary,1
2022-09-02,Day of the Independent City of Ceuta,1
2022-09-06,Elcano's Day,1
2022-09-08,Day of Asturias,1
2022-09-08,Day of Extremadura,1
2022-09-08,Virgin of the Victory,1
2022-09-11,National Day of Catalonia,1
2022-09-15,Nuestra Señora de la Bien Aparecida,1
2022-09-23,September Equinox,1
2022-10-09,Day of the Valencian Community,1
2022-10-12,Hispanic Day,1
2022-10-30,Daylight Saving Time ends,1
2022-11-01,All Saint's Day Holiday,1
2022-12-03,Day of Navarre,1
2022-12-06,Constitution Day Holiday,1
2022-12-08,Immaculate Conception,1
2022-12-21,December Solstice,1
2022-12-24,Christmas Eve,1
2022-12-25,Christmas Day,1
2022-12-26,Day After Christmas Day,1
2022-12-26,St Stephen's Day,1
2022-12-26,St Stephen's Day,1
2022-12-30,Feast of the Holy Family,1
2022-12-31,New Year's Eve,1
2023-01-01,New Year's Day,1
2023-01-02,New Year's Day Holiday,1
2023-01-02,Reconquest Day,1
2023-01-06,Epiphany,1
2023-02-14,Valentine's Day,1
2023-02-20,Carnival Monday,1
2023-02-21,Carnival Tuesday,1
2023-02-21,Carnival Tuesday,1
2023-02-22,Ash Wednesday,1
2023-02-28,Day of Andalucía,1
2023-03-01,Day of the Balearic Islands,1
2023-03-19,Fathers' Day,1
2023-03-19,San Jose,1
2023-03-19,San Jose,1
